DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2924,2851,1311,2335,2934,2022-03-24
Waitemata,35871,35310,17213,29115,37573,2022-03-24
Auckland,44198,43340,21684,36297,46866,2022-03-24
Counties Manukau,110183,108053,50443,88545,116498,2022-03-24
Waikato,10518,10306,5118,8564,10682,2022-03-24
Lakes,2207,2146,1122,1795,2286,2022-03-24
Bay of Plenty,4947,4854,2184,4110,3679,2022-03-24
Tairawhiti,1075,1052,546,894,965,2022-03-24
Taranaki,1297,1270,600,1009,1270,2022-03-24
Hawkes Bay,7469,7326,3625,6143,5020,2022-03-24
MidCentral,4531,4444,2244,3545,4468,2022-03-24
Whanganui,1249,1215,608,987,1381,2022-03-24
Capital and Coast,18440,18181,10198,15070,19177,2022-03-24
Hutt Valley,9545,9370,5025,7640,9894,2022-03-24
Wairarapa,894,874,468,730,837,2022-03-24
Nelson Marlborough,4627,4569,2340,3968,2115,2022-03-24
West Coast,286,280,151,220,282,2022-03-24
Canterbury,12814,12585,6261,10227,12737,2022-03-24
South Canterbury,1008,992,430,810,837,2022-03-24
Southern,6911,6799,3422,5655,6031,2022-03-24
Overseas / Unknown,418,403,184,339,1149,2022-03-24
New Zealand,281412,276220,135177,227998,286681,2022-03-24
