DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2841,1276,2236,2934,2022-03-15
Waitemata,35944,35346,16936,28534,37573,2022-03-15
Auckland,44299,43381,21313,35551,46866,2022-03-15
Counties Manukau,110323,108083,49609,86528,116498,2022-03-15
Waikato,10529,10297,5035,8355,10682,2022-03-15
Lakes,2206,2141,1084,1742,2286,2022-03-15
Bay of Plenty,4927,4826,2171,3955,3679,2022-03-15
Tairawhiti,1072,1048,536,868,965,2022-03-15
Taranaki,1300,1271,587,967,1270,2022-03-15
Hawkes Bay,7403,7263,3486,5895,5020,2022-03-15
MidCentral,4532,4442,2195,3422,4468,2022-03-15
Whanganui,1252,1213,599,961,1381,2022-03-15
Capital and Coast,18513,18223,10056,14613,19177,2022-03-15
Hutt Valley,9559,9373,4934,7357,9894,2022-03-15
Wairarapa,894,872,454,712,837,2022-03-15
Nelson Marlborough,4624,4566,2308,3861,2115,2022-03-15
West Coast,288,282,150,217,282,2022-03-15
Canterbury,12817,12574,6128,9952,12737,2022-03-15
South Canterbury,1009,993,410,773,837,2022-03-15
Southern,6906,6784,3337,5423,6031,2022-03-15
Overseas / Unknown,421,406,184,321,1149,2022-03-15
New Zealand,281743,276225,132788,222243,286681,2022-03-15
