DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2918,2843,1325,2358,2934,2022-04-05
Waitemata,35868,35334,17465,29461,37573,2022-04-05
Auckland,44296,43465,22055,36797,46866,2022-04-05
Counties Manukau,110139,108078,51152,89531,116498,2022-04-05
Waikato,10527,10330,5187,8690,10682,2022-04-05
Lakes,2203,2144,1135,1827,2286,2022-04-05
Bay of Plenty,4949,4858,2216,4180,3679,2022-04-05
Tairawhiti,1075,1051,557,905,965,2022-04-05
Taranaki,1300,1275,614,1029,1270,2022-04-05
Hawkes Bay,7536,7394,3709,6317,5020,2022-04-05
MidCentral,4533,4449,2271,3606,4468,2022-04-05
Whanganui,1252,1219,620,1014,1381,2022-04-05
Capital and Coast,18445,18192,10288,15403,19177,2022-04-05
Hutt Valley,9553,9383,5089,7795,9894,2022-04-05
Wairarapa,902,883,480,746,837,2022-04-05
Nelson Marlborough,4560,4502,2339,3948,2115,2022-04-05
West Coast,280,274,148,217,282,2022-04-05
Canterbury,12838,12618,6365,10449,12737,2022-04-05
South Canterbury,1010,997,439,833,837,2022-04-05
Southern,7005,6902,3514,5826,6031,2022-04-05
Overseas / Unknown,410,395,183,338,1149,2022-04-05
New Zealand,281599,276586,137151,231270,286681,2022-04-05
