DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2838,1254,2173,2934,2022-03-09
Waitemata,35922,35302,16582,28049,37573,2022-03-09
Auckland,44270,43316,20848,34967,46866,2022-03-09
Counties Manukau,110209,107893,48385,84906,116498,2022-03-09
Waikato,10512,10274,4927,8198,10682,2022-03-09
Lakes,2201,2139,1064,1700,2286,2022-03-09
Bay of Plenty,4930,4826,2129,3871,3679,2022-03-09
Tairawhiti,1070,1045,519,846,965,2022-03-09
Taranaki,1302,1274,573,944,1270,2022-03-09
Hawkes Bay,7342,7197,3400,5698,5020,2022-03-09
MidCentral,4528,4434,2131,3341,4468,2022-03-09
Whanganui,1253,1213,588,940,1381,2022-03-09
Capital and Coast,18510,18205,9907,14260,19177,2022-03-09
Hutt Valley,9543,9353,4814,7161,9894,2022-03-09
Wairarapa,893,870,441,695,837,2022-03-09
Nelson Marlborough,4641,4583,2182,3819,2115,2022-03-09
West Coast,288,282,148,211,282,2022-03-09
Canterbury,12807,12557,5967,9715,12737,2022-03-09
South Canterbury,998,983,394,745,837,2022-03-09
Southern,6879,6742,3222,5281,6031,2022-03-09
Overseas / Unknown,424,405,182,320,1149,2022-03-09
New Zealand,281445,275731,129657,217840,286681,2022-03-09
