DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2845,1331,2361,2934,2022-04-06
Waitemata,35875,35342,17472,29491,37573,2022-04-06
Auckland,44311,43479,22070,36829,46866,2022-04-06
Counties Manukau,110127,108069,51172,89591,116498,2022-04-06
Waikato,10528,10331,5191,8698,10682,2022-04-06
Lakes,2199,2140,1133,1827,2286,2022-04-06
Bay of Plenty,4949,4858,2217,4184,3679,2022-04-06
Tairawhiti,1074,1050,557,904,965,2022-04-06
Taranaki,1302,1278,618,1032,1270,2022-04-06
Hawkes Bay,7536,7395,3708,6318,5020,2022-04-06
MidCentral,4536,4453,2274,3612,4468,2022-04-06
Whanganui,1252,1219,620,1016,1381,2022-04-06
Capital and Coast,18445,18192,10299,15410,19177,2022-04-06
Hutt Valley,9553,9383,5094,7796,9894,2022-04-06
Wairarapa,903,884,484,747,837,2022-04-06
Nelson Marlborough,4564,4506,2344,3953,2115,2022-04-06
West Coast,281,275,148,217,282,2022-04-06
Canterbury,12839,12620,6373,10454,12737,2022-04-06
South Canterbury,1011,998,440,834,837,2022-04-06
Southern,7012,6908,3538,5835,6031,2022-04-06
Overseas / Unknown,411,396,183,339,1149,2022-04-06
New Zealand,281628,276621,137266,231448,286681,2022-04-06
