DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2924,2847,1301,2302,2934,2022-03-20
Waitemata,35873,35315,17120,28896,37573,2022-03-20
Auckland,44193,43326,21558,36017,46866,2022-03-20
Counties Manukau,110141,107994,50212,87798,116498,2022-03-20
Waikato,10504,10293,5084,8488,10682,2022-03-20
Lakes,2202,2139,1111,1778,2286,2022-03-20
Bay of Plenty,4912,4820,2179,4026,3679,2022-03-20
Tairawhiti,1075,1052,544,885,965,2022-03-20
Taranaki,1301,1274,597,999,1270,2022-03-20
Hawkes Bay,7437,7293,3582,6036,5020,2022-03-20
MidCentral,4522,4434,2228,3497,4468,2022-03-20
Whanganui,1252,1215,605,981,1381,2022-03-20
Capital and Coast,18445,18180,10138,14911,19177,2022-03-20
Hutt Valley,9542,9368,5001,7519,9894,2022-03-20
Wairarapa,892,872,461,725,837,2022-03-20
Nelson Marlborough,4626,4570,2340,3940,2115,2022-03-20
West Coast,288,283,152,220,282,2022-03-20
Canterbury,12809,12575,6214,10115,12737,2022-03-20
South Canterbury,1009,993,421,796,837,2022-03-20
Southern,6898,6780,3391,5580,6031,2022-03-20
Overseas / Unknown,420,405,187,337,1149,2022-03-20
New Zealand,281265,276028,134426,225846,286681,2022-03-20
