DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2901,2802,1013,1986,2934,2022-02-20
Waitemata,35806,35085,13869,26363,37573,2022-02-20
Auckland,44109,43090,17474,33059,46866,2022-02-20
Counties Manukau,109823,107210,40880,79685,116498,2022-02-20
Waikato,10440,10188,4075,7537,10682,2022-02-20
Lakes,2181,2120,893,1540,2286,2022-02-20
Bay of Plenty,4840,4723,1734,3538,3679,2022-02-20
Tairawhiti,1052,1029,409,769,965,2022-02-20
Taranaki,1302,1274,450,845,1270,2022-02-20
Hawkes Bay,7121,6935,2722,5150,5020,2022-02-20
MidCentral,4513,4401,1735,3069,4468,2022-02-20
Whanganui,1248,1210,487,852,1381,2022-02-20
Capital and Coast,18439,18064,8184,13048,19177,2022-02-20
Hutt Valley,9519,9301,4089,6599,9894,2022-02-20
Wairarapa,882,858,383,616,837,2022-02-20
Nelson Marlborough,4570,4493,1931,3571,2115,2022-02-20
West Coast,283,276,111,190,282,2022-02-20
Canterbury,12737,12437,4726,8672,12737,2022-02-20
South Canterbury,983,963,298,682,837,2022-02-20
Southern,6778,6627,2625,4776,6031,2022-02-20
Overseas / Unknown,417,396,154,315,1149,2022-02-20
New Zealand,279944,273482,108242,202862,286681,2022-02-20
