DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2846,1336,2382,2934,2022-04-12
Waitemata,35878,35350,17628,29647,37573,2022-04-12
Auckland,44317,43485,22232,37049,46866,2022-04-12
Counties Manukau,110157,108118,51646,90265,116498,2022-04-12
Waikato,10542,10339,5232,8755,10682,2022-04-12
Lakes,2197,2138,1137,1851,2286,2022-04-12
Bay of Plenty,4951,4861,2220,4201,3679,2022-04-12
Tairawhiti,1074,1050,563,911,965,2022-04-12
Taranaki,1299,1276,621,1040,1270,2022-04-12
Hawkes Bay,7556,7417,3722,6398,5020,2022-04-12
MidCentral,4536,4454,2284,3647,4468,2022-04-12
Whanganui,1253,1220,623,1016,1381,2022-04-12
Capital and Coast,18439,18192,10332,15510,19177,2022-04-12
Hutt Valley,9555,9389,5124,7885,9894,2022-04-12
Wairarapa,905,886,489,756,837,2022-04-12
Nelson Marlborough,4568,4511,2356,3989,2115,2022-04-12
West Coast,279,273,148,216,282,2022-04-12
Canterbury,12836,12621,6415,10515,12737,2022-04-12
South Canterbury,1014,1001,445,845,837,2022-04-12
Southern,7019,6917,3559,5852,6031,2022-04-12
Overseas / Unknown,406,391,186,338,1149,2022-04-12
New Zealand,281701,276735,138298,233068,286681,2022-04-12
