DHB,Dose1,Dose2,Population,Date
Northland,2837,2658,2934,2022-01-04
Waitemata,34970,33606,37573,2022-01-04
Auckland,43087,41312,46866,2022-01-04
Counties Manukau,106823,102148,116498,2022-01-04
Waikato,10150,9728,10682,2022-01-04
Lakes,2122,2014,2286,2022-01-04
Bay of Plenty,4699,4467,3679,2022-01-04
Tairawhiti,1011,959,965,2022-01-04
Taranaki,1264,1187,1270,2022-01-04
Hawkes Bay,6276,5943,5020,2022-01-04
MidCentral,4369,4135,4468,2022-01-04
Whanganui,1194,1136,1381,2022-01-04
Capital and Coast,17970,17219,19177,2022-01-04
Hutt Valley,9246,8794,9894,2022-01-04
Wairarapa,823,789,837,2022-01-04
Nelson Marlborough,4210,4049,2115,2022-01-04
West Coast,281,269,282,2022-01-04
Canterbury,12365,11794,12737,2022-01-04
South Canterbury,959,904,837,2022-01-04
Southern,6486,6189,6031,2022-01-04
Overseas / Unknown,355,334,1149,2022-01-04
New Zealand,271497,259634,286681,2022-01-04
All DHBs to 90%,NA,NA,NA,2022-01-04
