DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2921,2847,1326,2361,2934,2022-04-02
Waitemata,35865,35314,17422,29415,37573,2022-04-02
Auckland,44265,43416,21994,36715,46866,2022-04-02
Counties Manukau,110149,108026,51080,89376,116498,2022-04-02
Waikato,10526,10321,5171,8677,10682,2022-04-02
Lakes,2202,2143,1132,1817,2286,2022-04-02
Bay of Plenty,4949,4857,2216,4169,3679,2022-04-02
Tairawhiti,1076,1053,553,908,965,2022-04-02
Taranaki,1299,1274,613,1029,1270,2022-04-02
Hawkes Bay,7545,7402,3711,6315,5020,2022-04-02
MidCentral,4533,4447,2265,3602,4468,2022-04-02
Whanganui,1251,1218,617,1010,1381,2022-04-02
Capital and Coast,18446,18194,10273,15389,19177,2022-04-02
Hutt Valley,9555,9381,5072,7782,9894,2022-04-02
Wairarapa,901,882,478,744,837,2022-04-02
Nelson Marlborough,4568,4508,2343,3947,2115,2022-04-02
West Coast,281,275,149,218,282,2022-04-02
Canterbury,12837,12611,6349,10436,12737,2022-04-02
South Canterbury,1008,995,436,832,837,2022-04-02
Southern,6980,6875,3492,5798,6031,2022-04-02
Overseas / Unknown,408,393,183,335,1149,2022-04-02
New Zealand,281565,276432,136875,230875,286681,2022-04-02
