DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2927,2850,1304,2305,2934,2022-03-21
Waitemata,35870,35312,17140,28934,37573,2022-03-21
Auckland,44198,43329,21582,36070,46866,2022-03-21
Counties Manukau,110166,108022,50292,87957,116498,2022-03-21
Waikato,10506,10295,5088,8493,10682,2022-03-21
Lakes,2203,2140,1112,1781,2286,2022-03-21
Bay of Plenty,4908,4817,2177,4033,3679,2022-03-21
Tairawhiti,1073,1050,543,884,965,2022-03-21
Taranaki,1302,1274,599,1002,1270,2022-03-21
Hawkes Bay,7448,7304,3598,6074,5020,2022-03-21
MidCentral,4521,4433,2231,3499,4468,2022-03-21
Whanganui,1252,1215,607,982,1381,2022-03-21
Capital and Coast,18444,18185,10151,14917,19177,2022-03-21
Hutt Valley,9544,9371,5013,7542,9894,2022-03-21
Wairarapa,891,871,462,726,837,2022-03-21
Nelson Marlborough,4628,4571,2341,3942,2115,2022-03-21
West Coast,288,282,151,219,282,2022-03-21
Canterbury,12815,12582,6233,10134,12737,2022-03-21
South Canterbury,1009,993,425,797,837,2022-03-21
Southern,6900,6784,3391,5588,6031,2022-03-21
Overseas / Unknown,415,400,184,332,1149,2022-03-21
New Zealand,281308,276080,134624,226211,286681,2022-03-21
