DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2928,2840,1262,2187,2934,2022-03-10
Waitemata,35919,35303,16631,28125,37573,2022-03-10
Auckland,44275,43330,20901,35069,46866,2022-03-10
Counties Manukau,110237,107930,48522,85142,116498,2022-03-10
Waikato,10520,10284,4947,8231,10682,2022-03-10
Lakes,2202,2140,1066,1706,2286,2022-03-10
Bay of Plenty,4930,4825,2132,3892,3679,2022-03-10
Tairawhiti,1073,1048,523,851,965,2022-03-10
Taranaki,1301,1273,575,950,1270,2022-03-10
Hawkes Bay,7349,7205,3418,5742,5020,2022-03-10
MidCentral,4533,4440,2141,3363,4468,2022-03-10
Whanganui,1251,1212,592,942,1381,2022-03-10
Capital and Coast,18507,18208,9931,14336,19177,2022-03-10
Hutt Valley,9550,9360,4834,7204,9894,2022-03-10
Wairarapa,894,871,444,700,837,2022-03-10
Nelson Marlborough,4637,4579,2193,3822,2115,2022-03-10
West Coast,288,282,149,215,282,2022-03-10
Canterbury,12802,12556,5989,9762,12737,2022-03-10
South Canterbury,1002,987,396,753,837,2022-03-10
Southern,6884,6746,3249,5305,6031,2022-03-10
Overseas / Unknown,425,406,184,320,1149,2022-03-10
New Zealand,281507,275825,130079,218617,286681,2022-03-10
