DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2915,2823,1144,2054,2934,2022-02-28
Waitemata,35863,35187,15606,27150,37573,2022-02-28
Auckland,44205,43216,19694,34033,46866,2022-02-28
Counties Manukau,110027,107577,45605,82594,116498,2022-02-28
Waikato,10508,10258,4592,7843,10682,2022-02-28
Lakes,2188,2128,984,1610,2286,2022-02-28
Bay of Plenty,4867,4754,1994,3695,3679,2022-02-28
Tairawhiti,1067,1044,463,808,965,2022-02-28
Taranaki,1300,1271,531,885,1270,2022-02-28
Hawkes Bay,7219,7058,3061,5384,5020,2022-02-28
MidCentral,4516,4419,1986,3173,4468,2022-02-28
Whanganui,1251,1211,538,878,1381,2022-02-28
Capital and Coast,18487,18152,9279,13491,19177,2022-02-28
Hutt Valley,9540,9334,4523,6861,9894,2022-02-28
Wairarapa,892,868,408,653,837,2022-02-28
Nelson Marlborough,4627,4557,2072,3656,2115,2022-02-28
West Coast,285,279,129,197,282,2022-02-28
Canterbury,12775,12509,5472,9108,12737,2022-02-28
South Canterbury,991,975,341,702,837,2022-02-28
Southern,6805,6658,2983,4941,6031,2022-02-28
Overseas / Unknown,423,404,164,325,1149,2022-02-28
New Zealand,280751,274682,121569,210041,286681,2022-02-28
