DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2926,2853,1320,2346,2934,2022-03-26
Waitemata,35868,35314,17282,29162,37573,2022-03-26
Auckland,44240,43383,21839,36417,46866,2022-03-26
Counties Manukau,110186,108064,50734,88687,116498,2022-03-26
Waikato,10524,10316,5146,8595,10682,2022-03-26
Lakes,2208,2148,1125,1798,2286,2022-03-26
Bay of Plenty,4947,4854,2193,4124,3679,2022-03-26
Tairawhiti,1078,1055,548,900,965,2022-03-26
Taranaki,1297,1270,605,1011,1270,2022-03-26
Hawkes Bay,7485,7341,3652,6184,5020,2022-03-26
MidCentral,4531,4443,2255,3556,4468,2022-03-26
Whanganui,1247,1214,610,989,1381,2022-03-26
Capital and Coast,18451,18191,10231,15179,19177,2022-03-26
Hutt Valley,9545,9370,5040,7676,9894,2022-03-26
Wairarapa,897,877,473,735,837,2022-03-26
Nelson Marlborough,4615,4557,2340,3962,2115,2022-03-26
West Coast,284,278,151,219,282,2022-03-26
Canterbury,12816,12589,6297,10276,12737,2022-03-26
South Canterbury,1007,992,431,814,837,2022-03-26
Southern,6923,6817,3430,5692,6031,2022-03-26
Overseas / Unknown,419,404,184,341,1149,2022-03-26
New Zealand,281494,276330,135886,228663,286681,2022-03-26
