DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2926,2839,1272,2227,2934,2022-03-13
Waitemata,35937,35325,16855,28422,37573,2022-03-13
Auckland,44284,43356,21193,35410,46866,2022-03-13
Counties Manukau,110277,108011,49399,86087,116498,2022-03-13
Waikato,10527,10294,5001,8331,10682,2022-03-13
Lakes,2208,2143,1079,1732,2286,2022-03-13
Bay of Plenty,4927,4824,2158,3934,3679,2022-03-13
Tairawhiti,1071,1047,531,854,965,2022-03-13
Taranaki,1302,1273,587,965,1270,2022-03-13
Hawkes Bay,7372,7228,3466,5823,5020,2022-03-13
MidCentral,4533,4442,2175,3401,4468,2022-03-13
Whanganui,1250,1211,595,952,1381,2022-03-13
Capital and Coast,18512,18215,10007,14554,19177,2022-03-13
Hutt Valley,9552,9365,4896,7290,9894,2022-03-13
Wairarapa,894,871,450,709,837,2022-03-13
Nelson Marlborough,4629,4570,2291,3842,2115,2022-03-13
West Coast,288,282,150,217,282,2022-03-13
Canterbury,12810,12562,6084,9909,12737,2022-03-13
South Canterbury,1001,985,407,762,837,2022-03-13
Southern,6889,6767,3297,5371,6031,2022-03-13
Overseas / Unknown,426,411,185,319,1149,2022-03-13
New Zealand,281615,276021,132078,221111,286681,2022-03-13
