DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2915,2820,1105,2038,2934,2022-02-25
Waitemata,35856,35173,14943,26756,37573,2022-02-25
Auckland,44166,43170,18756,33513,46866,2022-02-25
Counties Manukau,109974,107487,43445,80848,116498,2022-02-25
Waikato,10491,10245,4447,7714,10682,2022-02-25
Lakes,2180,2123,942,1573,2286,2022-02-25
Bay of Plenty,4861,4747,1930,3650,3679,2022-02-25
Tairawhiti,1064,1042,439,799,965,2022-02-25
Taranaki,1300,1271,504,870,1270,2022-02-25
Hawkes Bay,7197,7022,2972,5306,5020,2022-02-25
MidCentral,4512,4413,1913,3134,4468,2022-02-25
Whanganui,1250,1208,526,867,1381,2022-02-25
Capital and Coast,18485,18144,8949,13332,19177,2022-02-25
Hutt Valley,9525,9326,4338,6765,9894,2022-02-25
Wairarapa,892,868,399,637,837,2022-02-25
Nelson Marlborough,4594,4521,2030,3627,2115,2022-02-25
West Coast,285,279,124,196,282,2022-02-25
Canterbury,12772,12495,5228,8970,12737,2022-02-25
South Canterbury,989,974,329,692,837,2022-02-25
Southern,6799,6651,2861,4868,6031,2022-02-25
Overseas / Unknown,424,405,158,319,1149,2022-02-25
New Zealand,280531,274384,116338,206474,286681,2022-02-25
