DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2848,1299,2275,2934,2022-03-19
Waitemata,35873,35312,17108,28735,37573,2022-03-19
Auckland,44189,43318,21534,35772,46866,2022-03-19
Counties Manukau,110141,107992,50183,87177,116498,2022-03-19
Waikato,10503,10292,5084,8430,10682,2022-03-19
Lakes,2201,2138,1108,1761,2286,2022-03-19
Bay of Plenty,4911,4819,2178,3995,3679,2022-03-19
Tairawhiti,1075,1051,544,881,965,2022-03-19
Taranaki,1301,1273,597,986,1270,2022-03-19
Hawkes Bay,7436,7292,3574,5987,5020,2022-03-19
MidCentral,4522,4434,2226,3473,4468,2022-03-19
Whanganui,1253,1216,605,976,1381,2022-03-19
Capital and Coast,18446,18181,10131,14788,19177,2022-03-19
Hutt Valley,9542,9368,4999,7480,9894,2022-03-19
Wairarapa,892,872,461,720,837,2022-03-19
Nelson Marlborough,4627,4571,2340,3923,2115,2022-03-19
West Coast,288,283,152,218,282,2022-03-19
Canterbury,12808,12574,6206,10051,12737,2022-03-19
South Canterbury,1009,993,421,794,837,2022-03-19
Southern,6898,6780,3384,5532,6031,2022-03-19
Overseas / Unknown,419,404,187,329,1149,2022-03-19
New Zealand,281259,276011,134321,224283,286681,2022-03-19
