DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2924,2848,1309,2311,2934,2022-03-22
Waitemata,35884,35320,17158,29000,37573,2022-03-22
Auckland,44203,43335,21620,36136,46866,2022-03-22
Counties Manukau,110182,108042,50345,88165,116498,2022-03-22
Waikato,10510,10299,5103,8511,10682,2022-03-22
Lakes,2205,2144,1116,1785,2286,2022-03-22
Bay of Plenty,4909,4817,2180,4062,3679,2022-03-22
Tairawhiti,1072,1049,543,889,965,2022-03-22
Taranaki,1301,1274,600,1005,1270,2022-03-22
Hawkes Bay,7453,7309,3607,6096,5020,2022-03-22
MidCentral,4526,4438,2239,3511,4468,2022-03-22
Whanganui,1251,1216,608,983,1381,2022-03-22
Capital and Coast,18444,18183,10157,14958,19177,2022-03-22
Hutt Valley,9545,9372,5019,7564,9894,2022-03-22
Wairarapa,890,869,464,724,837,2022-03-22
Nelson Marlborough,4627,4569,2345,3950,2115,2022-03-22
West Coast,287,281,151,218,282,2022-03-22
Canterbury,12812,12579,6237,10161,12737,2022-03-22
South Canterbury,1008,992,426,798,837,2022-03-22
Southern,6904,6789,3401,5608,6031,2022-03-22
Overseas / Unknown,416,401,184,335,1149,2022-03-22
New Zealand,281353,276126,134812,226770,286681,2022-03-22
