DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2907,2809,1053,2003,2934,2022-02-22
Waitemata,35824,35124,14323,26539,37573,2022-02-22
Auckland,44117,43107,17986,33205,46866,2022-02-22
Counties Manukau,109896,107319,41912,80149,116498,2022-02-22
Waikato,10466,10214,4191,7582,10682,2022-02-22
Lakes,2184,2124,911,1552,2286,2022-02-22
Bay of Plenty,4851,4736,1804,3580,3679,2022-02-22
Tairawhiti,1054,1032,422,779,965,2022-02-22
Taranaki,1301,1272,472,853,1270,2022-02-22
Hawkes Bay,7175,6990,2775,5239,5020,2022-02-22
MidCentral,4509,4405,1785,3083,4468,2022-02-22
Whanganui,1248,1208,504,855,1381,2022-02-22
Capital and Coast,18456,18095,8456,13129,19177,2022-02-22
Hutt Valley,9524,9311,4179,6687,9894,2022-02-22
Wairarapa,889,866,392,628,837,2022-02-22
Nelson Marlborough,4575,4500,1962,3589,2115,2022-02-22
West Coast,283,276,118,190,282,2022-02-22
Canterbury,12750,12454,4910,8785,12737,2022-02-22
South Canterbury,984,965,314,688,837,2022-02-22
Southern,6792,6643,2719,4819,6031,2022-02-22
Overseas / Unknown,421,400,158,317,1149,2022-02-22
New Zealand,280206,273850,111346,204251,286681,2022-02-22
