DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2830,1187,2086,2934,2022-03-03
Waitemata,35880,35222,15992,27272,37573,2022-03-03
Auckland,44227,43265,20147,34090,46866,2022-03-03
Counties Manukau,110101,107689,46547,82874,116498,2022-03-03
Waikato,10507,10259,4736,7931,10682,2022-03-03
Lakes,2194,2134,1020,1631,2286,2022-03-03
Bay of Plenty,4884,4775,2033,3745,3679,2022-03-03
Tairawhiti,1067,1044,480,819,965,2022-03-03
Taranaki,1298,1271,548,903,1270,2022-03-03
Hawkes Bay,7294,7144,3248,5499,5020,2022-03-03
MidCentral,4521,4427,2053,3220,4468,2022-03-03
Whanganui,1252,1211,556,899,1381,2022-03-03
Capital and Coast,18495,18173,9586,13642,19177,2022-03-03
Hutt Valley,9541,9336,4639,6911,9894,2022-03-03
Wairarapa,893,869,429,655,837,2022-03-03
Nelson Marlborough,4633,4563,2109,3704,2115,2022-03-03
West Coast,285,279,137,201,282,2022-03-03
Canterbury,12794,12530,5689,9289,12737,2022-03-03
South Canterbury,995,980,356,718,837,2022-03-03
Southern,6832,6689,3085,5003,6031,2022-03-03
Overseas / Unknown,422,404,174,312,1149,2022-03-03
New Zealand,281031,275094,124751,211404,286681,2022-03-03
