DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2922,2848,1327,2347,2934,2022-03-31
Waitemata,35867,35316,17355,29324,37573,2022-03-31
Auckland,44259,43407,21952,36605,46866,2022-03-31
Counties Manukau,110148,108028,50865,89066,116498,2022-03-31
Waikato,10526,10319,5167,8644,10682,2022-03-31
Lakes,2206,2146,1130,1812,2286,2022-03-31
Bay of Plenty,4949,4857,2215,4156,3679,2022-03-31
Tairawhiti,1078,1055,552,907,965,2022-03-31
Taranaki,1299,1273,609,1024,1270,2022-03-31
Hawkes Bay,7539,7396,3703,6280,5020,2022-03-31
MidCentral,4531,4444,2260,3585,4468,2022-03-31
Whanganui,1251,1218,615,1006,1381,2022-03-31
Capital and Coast,18445,18193,10263,15319,19177,2022-03-31
Hutt Valley,9557,9381,5066,7736,9894,2022-03-31
Wairarapa,900,881,477,740,837,2022-03-31
Nelson Marlborough,4569,4510,2342,3939,2115,2022-03-31
West Coast,284,278,151,220,282,2022-03-31
Canterbury,12835,12607,6335,10389,12737,2022-03-31
South Canterbury,1007,993,432,824,837,2022-03-31
Southern,6972,6867,3477,5774,6031,2022-03-31
Overseas / Unknown,411,396,183,338,1149,2022-03-31
New Zealand,281555,276413,136476,230035,286681,2022-03-31
