DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2837,1270,2200,2934,2022-03-11
Waitemata,35926,35314,16705,28200,37573,2022-03-11
Auckland,44277,43336,20984,35153,46866,2022-03-11
Counties Manukau,110249,107961,48674,85326,116498,2022-03-11
Waikato,10526,10291,4970,8267,10682,2022-03-11
Lakes,2204,2143,1073,1716,2286,2022-03-11
Bay of Plenty,4926,4820,2136,3900,3679,2022-03-11
Tairawhiti,1071,1047,524,851,965,2022-03-11
Taranaki,1302,1273,581,954,1270,2022-03-11
Hawkes Bay,7370,7226,3440,5783,5020,2022-03-11
MidCentral,4533,4442,2164,3384,4468,2022-03-11
Whanganui,1250,1211,592,943,1381,2022-03-11
Capital and Coast,18511,18210,9966,14397,19177,2022-03-11
Hutt Valley,9552,9364,4854,7246,9894,2022-03-11
Wairarapa,894,870,447,702,837,2022-03-11
Nelson Marlborough,4626,4568,2196,3839,2115,2022-03-11
West Coast,288,282,150,215,282,2022-03-11
Canterbury,12808,12561,6026,9819,12737,2022-03-11
South Canterbury,1000,985,403,757,837,2022-03-11
Southern,6887,6763,3266,5338,6031,2022-03-11
Overseas / Unknown,424,410,183,318,1149,2022-03-11
New Zealand,281549,275914,130604,219308,286681,2022-03-11
