DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2852,1317,2345,2934,2022-03-25
Waitemata,35867,35308,17246,29165,37573,2022-03-25
Auckland,44236,43377,21747,36415,46866,2022-03-25
Counties Manukau,110157,108033,50474,88675,116498,2022-03-25
Waikato,10524,10316,5136,8595,10682,2022-03-25
Lakes,2208,2148,1124,1798,2286,2022-03-25
Bay of Plenty,4947,4854,2191,4124,3679,2022-03-25
Tairawhiti,1078,1055,547,900,965,2022-03-25
Taranaki,1297,1270,603,1011,1270,2022-03-25
Hawkes Bay,7483,7340,3649,6183,5020,2022-03-25
MidCentral,4531,4443,2256,3557,4468,2022-03-25
Whanganui,1247,1214,607,989,1381,2022-03-25
Capital and Coast,18453,18194,10220,15181,19177,2022-03-25
Hutt Valley,9546,9371,5033,7677,9894,2022-03-25
Wairarapa,896,876,471,734,837,2022-03-25
Nelson Marlborough,4616,4558,2336,3963,2115,2022-03-25
West Coast,284,278,150,219,282,2022-03-25
Canterbury,12813,12584,6269,10276,12737,2022-03-25
South Canterbury,1007,992,431,814,837,2022-03-25
Southern,6924,6815,3426,5692,6031,2022-03-25
Overseas / Unknown,419,404,185,341,1149,2022-03-25
New Zealand,281458,276282,135418,228654,286681,2022-03-25
