DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2827,1223,2104,2934,2022-03-05
Waitemata,35905,35263,16316,27404,37573,2022-03-05
Auckland,44232,43272,20529,34216,46866,2022-03-05
Counties Manukau,110155,107770,47796,83162,116498,2022-03-05
Waikato,10506,10266,4844,7995,10682,2022-03-05
Lakes,2195,2136,1037,1642,2286,2022-03-05
Bay of Plenty,4880,4770,2081,3749,3679,2022-03-05
Tairawhiti,1067,1044,489,824,965,2022-03-05
Taranaki,1298,1271,561,915,1270,2022-03-05
Hawkes Bay,7308,7160,3305,5539,5020,2022-03-05
MidCentral,4522,4427,2088,3245,4468,2022-03-05
Whanganui,1254,1214,576,914,1381,2022-03-05
Capital and Coast,18496,18178,9744,13804,19177,2022-03-05
Hutt Valley,9542,9342,4706,6973,9894,2022-03-05
Wairarapa,895,872,434,668,837,2022-03-05
Nelson Marlborough,4635,4576,2164,3719,2115,2022-03-05
West Coast,287,281,141,206,282,2022-03-05
Canterbury,12796,12536,5828,9398,12737,2022-03-05
South Canterbury,998,981,371,725,837,2022-03-05
Southern,6856,6718,3162,5065,6031,2022-03-05
Overseas / Unknown,419,401,179,311,1149,2022-03-05
New Zealand,281162,275305,127574,212578,286681,2022-03-05
