DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2917,2830,1239,2140,2934,2022-03-07
Waitemata,35920,35284,16444,27868,37573,2022-03-07
Auckland,44241,43284,20690,34743,46866,2022-03-07
Counties Manukau,110173,107815,48089,84388,116498,2022-03-07
Waikato,10512,10274,4881,8132,10682,2022-03-07
Lakes,2196,2137,1057,1669,2286,2022-03-07
Bay of Plenty,4928,4821,2106,3840,3679,2022-03-07
Tairawhiti,1070,1044,514,839,965,2022-03-07
Taranaki,1300,1272,564,938,1270,2022-03-07
Hawkes Bay,7319,7169,3352,5643,5020,2022-03-07
MidCentral,4522,4427,2110,3298,4468,2022-03-07
Whanganui,1253,1213,584,930,1381,2022-03-07
Capital and Coast,18501,18187,9816,14107,19177,2022-03-07
Hutt Valley,9539,9347,4759,7110,9894,2022-03-07
Wairarapa,897,874,440,682,837,2022-03-07
Nelson Marlborough,4642,4584,2178,3771,2115,2022-03-07
West Coast,287,281,143,208,282,2022-03-07
Canterbury,12801,12548,5889,9608,12737,2022-03-07
South Canterbury,999,983,382,741,837,2022-03-07
Southern,6868,6727,3176,5216,6031,2022-03-07
Overseas / Unknown,422,404,182,316,1149,2022-03-07
New Zealand,281307,275505,128595,216187,286681,2022-03-07
