DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2920,2845,1341,2404,2934,2022-04-19
Waitemata,35888,35358,17665,29684,37573,2022-04-19
Auckland,44329,43507,22280,37111,46866,2022-04-19
Counties Manukau,110155,108116,51790,90488,116498,2022-04-19
Waikato,10542,10341,5239,8761,10682,2022-04-19
Lakes,2197,2138,1139,1859,2286,2022-04-19
Bay of Plenty,4947,4857,2224,4218,3679,2022-04-19
Tairawhiti,1073,1050,564,914,965,2022-04-19
Taranaki,1297,1274,622,1047,1270,2022-04-19
Hawkes Bay,7593,7456,3747,6480,5020,2022-04-19
MidCentral,4536,4455,2287,3668,4468,2022-04-19
Whanganui,1255,1222,629,1023,1381,2022-04-19
Capital and Coast,18444,18198,10347,15581,19177,2022-04-19
Hutt Valley,9553,9389,5128,7948,9894,2022-04-19
Wairarapa,908,889,494,763,837,2022-04-19
Nelson Marlborough,4576,4521,2373,4031,2115,2022-04-19
West Coast,276,270,146,215,282,2022-04-19
Canterbury,12834,12620,6426,10552,12737,2022-04-19
South Canterbury,1013,1000,446,852,837,2022-04-19
Southern,7015,6913,3566,5868,6031,2022-04-19
Overseas / Unknown,412,398,186,344,1149,2022-04-19
New Zealand,281763,276817,138639,233811,286681,2022-04-19
