DHB,Dose1,Dose2,Population,Date
Northland,2849,2696,2934,2022-01-10
Waitemata,35129,33920,37573,2022-01-10
Auckland,43266,41695,46866,2022-01-10
Counties Manukau,107325,103277,116498,2022-01-10
Waikato,10183,9814,10682,2022-01-10
Lakes,2135,2039,2286,2022-01-10
Bay of Plenty,4725,4511,3679,2022-01-10
Tairawhiti,1012,973,965,2022-01-10
Taranaki,1268,1206,1270,2022-01-10
Hawkes Bay,6351,6060,5020,2022-01-10
MidCentral,4384,4185,4468,2022-01-10
Whanganui,1196,1145,1381,2022-01-10
Capital and Coast,18075,17409,19177,2022-01-10
Hutt Valley,9289,8920,9894,2022-01-10
Wairarapa,829,797,837,2022-01-10
Nelson Marlborough,4237,4100,2115,2022-01-10
West Coast,281,271,282,2022-01-10
Canterbury,12417,11919,12737,2022-01-10
South Canterbury,963,919,837,2022-01-10
Southern,6526,6279,6031,2022-01-10
Overseas / Unknown,360,338,1149,2022-01-10
New Zealand,272800,262473,286681,2022-01-10
All DHBs to 90%,NA,NA,NA,2022-01-10
