DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2924,2845,1280,2265,2934,2022-03-17
Waitemata,35859,35287,17007,28670,37573,2022-03-17
Auckland,44176,43291,21389,35680,46866,2022-03-17
Counties Manukau,110093,107911,49765,86943,116498,2022-03-17
Waikato,10499,10282,5062,8403,10682,2022-03-17
Lakes,2199,2137,1102,1754,2286,2022-03-17
Bay of Plenty,4914,4819,2173,3986,3679,2022-03-17
Tairawhiti,1075,1051,544,877,965,2022-03-17
Taranaki,1301,1272,588,980,1270,2022-03-17
Hawkes Bay,7426,7283,3551,5964,5020,2022-03-17
MidCentral,4520,4432,2213,3452,4468,2022-03-17
Whanganui,1252,1214,602,973,1381,2022-03-17
Capital and Coast,18445,18181,10098,14725,19177,2022-03-17
Hutt Valley,9536,9362,4961,7443,9894,2022-03-17
Wairarapa,892,872,458,720,837,2022-03-17
Nelson Marlborough,4630,4573,2333,3925,2115,2022-03-17
West Coast,288,282,152,218,282,2022-03-17
Canterbury,12798,12563,6165,10012,12737,2022-03-17
South Canterbury,1010,993,418,779,837,2022-03-17
Southern,6902,6785,3369,5505,6031,2022-03-17
Overseas / Unknown,420,406,187,330,1149,2022-03-17
New Zealand,281159,275841,133417,223604,286681,2022-03-17
