DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2926,2853,1320,2350,2934,2022-03-27
Waitemata,35868,35315,17292,29215,37573,2022-03-27
Auckland,44240,43378,21842,36470,46866,2022-03-27
Counties Manukau,110187,108059,50744,88800,116498,2022-03-27
Waikato,10524,10316,5149,8613,10682,2022-03-27
Lakes,2207,2147,1125,1800,2286,2022-03-27
Bay of Plenty,4948,4854,2196,4136,3679,2022-03-27
Tairawhiti,1078,1055,549,902,965,2022-03-27
Taranaki,1298,1271,606,1013,1270,2022-03-27
Hawkes Bay,7487,7343,3656,6191,5020,2022-03-27
MidCentral,4531,4443,2254,3567,4468,2022-03-27
Whanganui,1247,1214,610,992,1381,2022-03-27
Capital and Coast,18450,18190,10231,15229,19177,2022-03-27
Hutt Valley,9546,9371,5043,7696,9894,2022-03-27
Wairarapa,897,877,473,737,837,2022-03-27
Nelson Marlborough,4614,4555,2343,3970,2115,2022-03-27
West Coast,284,278,151,220,282,2022-03-27
Canterbury,12818,12591,6301,10312,12737,2022-03-27
South Canterbury,1006,991,431,817,837,2022-03-27
Southern,6923,6817,3431,5709,6031,2022-03-27
Overseas / Unknown,417,402,183,342,1149,2022-03-27
New Zealand,281496,276320,135930,229081,286681,2022-03-27
