DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2837,1247,2160,2934,2022-03-08
Waitemata,35921,35294,16507,27966,37573,2022-03-08
Auckland,44248,43293,20760,34853,46866,2022-03-08
Counties Manukau,110191,107849,48251,84670,116498,2022-03-08
Waikato,10513,10275,4902,8169,10682,2022-03-08
Lakes,2200,2138,1060,1682,2286,2022-03-08
Bay of Plenty,4930,4826,2115,3855,3679,2022-03-08
Tairawhiti,1070,1044,518,842,965,2022-03-08
Taranaki,1300,1272,571,940,1270,2022-03-08
Hawkes Bay,7337,7191,3380,5678,5020,2022-03-08
MidCentral,4523,4431,2120,3325,4468,2022-03-08
Whanganui,1254,1214,586,934,1381,2022-03-08
Capital and Coast,18506,18197,9859,14176,19177,2022-03-08
Hutt Valley,9540,9349,4780,7132,9894,2022-03-08
Wairarapa,894,871,442,691,837,2022-03-08
Nelson Marlborough,4641,4583,2178,3803,2115,2022-03-08
West Coast,287,281,146,208,282,2022-03-08
Canterbury,12801,12552,5932,9656,12737,2022-03-08
South Canterbury,998,982,391,744,837,2022-03-08
Southern,6875,6732,3203,5261,6031,2022-03-08
Overseas / Unknown,424,406,182,320,1149,2022-03-08
New Zealand,281376,275617,129130,217065,286681,2022-03-08
