DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2913,2816,1072,2014,2934,2022-02-23
Waitemata,35837,35141,14503,26622,37573,2022-02-23
Auckland,44128,43122,18173,33301,46866,2022-02-23
Counties Manukau,109905,107344,42340,80360,116498,2022-02-23
Waikato,10475,10223,4258,7618,10682,2022-02-23
Lakes,2182,2123,918,1556,2286,2022-02-23
Bay of Plenty,4843,4729,1848,3596,3679,2022-02-23
Tairawhiti,1056,1035,428,783,965,2022-02-23
Taranaki,1302,1272,480,856,1270,2022-02-23
Hawkes Bay,7199,7019,2917,5275,5020,2022-02-23
MidCentral,4507,4403,1812,3099,4468,2022-02-23
Whanganui,1248,1207,515,856,1381,2022-02-23
Capital and Coast,18470,18112,8595,13199,19177,2022-02-23
Hutt Valley,9526,9318,4220,6708,9894,2022-02-23
Wairarapa,891,868,396,629,837,2022-02-23
Nelson Marlborough,4577,4504,1973,3598,2115,2022-02-23
West Coast,283,277,119,190,282,2022-02-23
Canterbury,12759,12468,5012,8841,12737,2022-02-23
South Canterbury,985,968,317,688,837,2022-02-23
Southern,6795,6646,2762,4834,6031,2022-02-23
Overseas / Unknown,420,399,157,313,1149,2022-02-23
New Zealand,280301,273994,112815,204936,286681,2022-02-23
