DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2849,1320,2345,2934,2022-03-29
Waitemata,35865,35315,17327,29239,37573,2022-03-29
Auckland,44261,43405,21902,36521,46866,2022-03-29
Counties Manukau,110167,108052,50802,88847,116498,2022-03-29
Waikato,10523,10318,5150,8616,10682,2022-03-29
Lakes,2208,2148,1128,1807,2286,2022-03-29
Bay of Plenty,4952,4858,2213,4142,3679,2022-03-29
Tairawhiti,1078,1055,552,902,965,2022-03-29
Taranaki,1299,1272,607,1017,1270,2022-03-29
Hawkes Bay,7529,7385,3695,6238,5020,2022-03-29
MidCentral,4529,4442,2256,3567,4468,2022-03-29
Whanganui,1251,1218,613,997,1381,2022-03-29
Capital and Coast,18444,18190,10245,15249,19177,2022-03-29
Hutt Valley,9551,9377,5057,7707,9894,2022-03-29
Wairarapa,899,880,474,739,837,2022-03-29
Nelson Marlborough,4600,4542,2347,3962,2115,2022-03-29
West Coast,284,278,151,220,282,2022-03-29
Canterbury,12829,12603,6317,10338,12737,2022-03-29
South Canterbury,1007,992,431,819,837,2022-03-29
Southern,6935,6830,3441,5725,6031,2022-03-29
Overseas / Unknown,411,396,182,336,1149,2022-03-29
New Zealand,281545,276405,136210,229333,286681,2022-03-29
