DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2917,2843,1356,2442,2934,2022-05-01
Waitemata,35908,35381,17771,29964,37573,2022-05-01
Auckland,44298,43493,22426,37394,46866,2022-05-01
Counties Manukau,110176,108167,52206,91357,116498,2022-05-01
Waikato,10575,10374,5277,8855,10682,2022-05-01
Lakes,2199,2139,1150,1884,2286,2022-05-01
Bay of Plenty,4960,4873,2234,4286,3679,2022-05-01
Tairawhiti,1070,1047,570,925,965,2022-05-01
Taranaki,1303,1280,625,1067,1270,2022-05-01
Hawkes Bay,7639,7503,3816,6645,5020,2022-05-01
MidCentral,4537,4457,2299,3703,4468,2022-05-01
Whanganui,1255,1222,632,1035,1381,2022-05-01
Capital and Coast,18450,18209,10386,15757,19177,2022-05-01
Hutt Valley,9553,9391,5145,8007,9894,2022-05-01
Wairarapa,908,889,494,769,837,2022-05-01
Nelson Marlborough,4555,4500,2365,4067,2115,2022-05-01
West Coast,275,269,148,216,282,2022-05-01
Canterbury,12844,12627,6463,10673,12737,2022-05-01
South Canterbury,1014,1000,450,864,837,2022-05-01
Southern,7022,6922,3585,5946,6031,2022-05-01
Overseas / Unknown,415,401,189,366,1149,2022-05-01
New Zealand,281873,276987,139587,236222,286681,2022-05-01
