DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2827,1226,2136,2934,2022-03-06
Waitemata,35909,35270,16366,27788,37573,2022-03-06
Auckland,44233,43272,20576,34644,46866,2022-03-06
Counties Manukau,110156,107790,47908,84168,116498,2022-03-06
Waikato,10508,10269,4854,8117,10682,2022-03-06
Lakes,2196,2137,1046,1660,2286,2022-03-06
Bay of Plenty,4879,4769,2088,3794,3679,2022-03-06
Tairawhiti,1070,1044,512,833,965,2022-03-06
Taranaki,1298,1271,562,932,1270,2022-03-06
Hawkes Bay,7316,7168,3345,5610,5020,2022-03-06
MidCentral,4521,4426,2096,3295,4468,2022-03-06
Whanganui,1254,1214,579,929,1381,2022-03-06
Capital and Coast,18498,18182,9759,14080,19177,2022-03-06
Hutt Valley,9541,9345,4726,7088,9894,2022-03-06
Wairarapa,895,872,435,678,837,2022-03-06
Nelson Marlborough,4638,4578,2170,3769,2115,2022-03-06
West Coast,287,281,141,208,282,2022-03-06
Canterbury,12798,12540,5853,9567,12737,2022-03-06
South Canterbury,998,981,377,738,837,2022-03-06
Southern,6855,6718,3165,5188,6031,2022-03-06
Overseas / Unknown,420,402,181,315,1149,2022-03-06
New Zealand,281186,275356,127965,215537,286681,2022-03-06
