DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2925,2850,1337,2387,2934,2022-04-10
Waitemata,35870,35342,17558,29638,37573,2022-04-10
Auckland,44314,43480,22186,37035,46866,2022-04-10
Counties Manukau,110160,108117,51536,90237,116498,2022-04-10
Waikato,10539,10338,5219,8759,10682,2022-04-10
Lakes,2199,2140,1136,1843,2286,2022-04-10
Bay of Plenty,4956,4867,2225,4219,3679,2022-04-10
Tairawhiti,1073,1049,559,911,965,2022-04-10
Taranaki,1299,1276,620,1038,1270,2022-04-10
Hawkes Bay,7548,7408,3717,6389,5020,2022-04-10
MidCentral,4537,4455,2280,3645,4468,2022-04-10
Whanganui,1252,1219,623,1017,1381,2022-04-10
Capital and Coast,18439,18188,10324,15508,19177,2022-04-10
Hutt Valley,9553,9385,5115,7861,9894,2022-04-10
Wairarapa,904,885,486,753,837,2022-04-10
Nelson Marlborough,4568,4510,2352,3981,2115,2022-04-10
West Coast,281,275,150,219,282,2022-04-10
Canterbury,12838,12620,6395,10515,12737,2022-04-10
South Canterbury,1011,999,441,840,837,2022-04-10
Southern,7017,6914,3560,5878,6031,2022-04-10
Overseas / Unknown,403,388,184,338,1149,2022-04-10
New Zealand,281686,276705,138003,233011,286681,2022-04-10
