DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2927,2842,1274,2229,2934,2022-03-14
Waitemata,35939,35336,16900,28467,37573,2022-03-14
Auckland,44296,43372,21256,35481,46866,2022-03-14
Counties Manukau,110289,108036,49520,86297,116498,2022-03-14
Waikato,10530,10296,5018,8342,10682,2022-03-14
Lakes,2208,2143,1081,1736,2286,2022-03-14
Bay of Plenty,4928,4827,2170,3944,3679,2022-03-14
Tairawhiti,1071,1047,534,860,965,2022-03-14
Taranaki,1302,1273,588,968,1270,2022-03-14
Hawkes Bay,7376,7234,3476,5848,5020,2022-03-14
MidCentral,4533,4445,2185,3406,4468,2022-03-14
Whanganui,1250,1211,598,952,1381,2022-03-14
Capital and Coast,18514,18223,10030,14574,19177,2022-03-14
Hutt Valley,9555,9369,4920,7334,9894,2022-03-14
Wairarapa,894,871,453,710,837,2022-03-14
Nelson Marlborough,4633,4575,2300,3852,2115,2022-03-14
West Coast,288,282,150,217,282,2022-03-14
Canterbury,12814,12567,6107,9924,12737,2022-03-14
South Canterbury,1001,985,409,764,837,2022-03-14
Southern,6892,6771,3319,5387,6031,2022-03-14
Overseas / Unknown,426,411,186,320,1149,2022-03-14
New Zealand,281666,276116,132474,221612,286681,2022-03-14
