DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2923,2848,1344,2413,2934,2022-04-20
Waitemata,35885,35354,17672,29698,37573,2022-04-20
Auckland,44324,43504,22285,37141,46866,2022-04-20
Counties Manukau,110147,108110,51813,90542,116498,2022-04-20
Waikato,10547,10345,5240,8772,10682,2022-04-20
Lakes,2197,2138,1141,1863,2286,2022-04-20
Bay of Plenty,4950,4860,2227,4225,3679,2022-04-20
Tairawhiti,1073,1050,565,915,965,2022-04-20
Taranaki,1299,1276,625,1049,1270,2022-04-20
Hawkes Bay,7596,7459,3747,6485,5020,2022-04-20
MidCentral,4536,4455,2285,3672,4468,2022-04-20
Whanganui,1254,1221,631,1026,1381,2022-04-20
Capital and Coast,18440,18194,10346,15591,19177,2022-04-20
Hutt Valley,9552,9388,5128,7950,9894,2022-04-20
Wairarapa,910,891,494,765,837,2022-04-20
Nelson Marlborough,4575,4520,2377,4031,2115,2022-04-20
West Coast,276,270,146,216,282,2022-04-20
Canterbury,12834,12619,6428,10559,12737,2022-04-20
South Canterbury,1014,1001,449,855,837,2022-04-20
Southern,7017,6915,3566,5876,6031,2022-04-20
Overseas / Unknown,414,400,185,348,1149,2022-04-20
New Zealand,281763,276818,138694,233992,286681,2022-04-20
