DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2918,2844,1347,2423,2934,2022-04-26
Waitemata,35903,35373,17727,29848,37573,2022-04-26
Auckland,44296,43488,22360,37283,46866,2022-04-26
Counties Manukau,110166,108141,52007,91009,116498,2022-04-26
Waikato,10565,10364,5260,8827,10682,2022-04-26
Lakes,2196,2137,1143,1871,2286,2022-04-26
Bay of Plenty,4949,4862,2228,4254,3679,2022-04-26
Tairawhiti,1072,1049,567,922,965,2022-04-26
Taranaki,1303,1280,625,1061,1270,2022-04-26
Hawkes Bay,7614,7477,3769,6534,5020,2022-04-26
MidCentral,4539,4459,2289,3688,4468,2022-04-26
Whanganui,1255,1223,633,1035,1381,2022-04-26
Capital and Coast,18445,18203,10361,15665,19177,2022-04-26
Hutt Valley,9551,9388,5133,7978,9894,2022-04-26
Wairarapa,910,891,493,769,837,2022-04-26
Nelson Marlborough,4563,4508,2367,4055,2115,2022-04-26
West Coast,275,269,148,215,282,2022-04-26
Canterbury,12839,12620,6443,10616,12737,2022-04-26
South Canterbury,1014,1000,452,861,837,2022-04-26
Southern,7024,6923,3580,5905,6031,2022-04-26
Overseas / Unknown,412,398,185,351,1149,2022-04-26
New Zealand,281809,276897,139117,235170,286681,2022-04-26
