DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2824,1129,2051,2934,2022-02-27
Waitemata,35866,35186,15391,27052,37573,2022-02-27
Auckland,44189,43203,19486,33916,46866,2022-02-27
Counties Manukau,110015,107559,45152,82250,116498,2022-02-27
Waikato,10499,10249,4525,7822,10682,2022-02-27
Lakes,2183,2123,967,1596,2286,2022-02-27
Bay of Plenty,4863,4749,1972,3688,3679,2022-02-27
Tairawhiti,1066,1043,458,805,965,2022-02-27
Taranaki,1300,1271,521,879,1270,2022-02-27
Hawkes Bay,7208,7045,3033,5347,5020,2022-02-27
MidCentral,4514,4417,1966,3162,4468,2022-02-27
Whanganui,1250,1209,534,875,1381,2022-02-27
Capital and Coast,18486,18149,9161,13477,19177,2022-02-27
Hutt Valley,9532,9326,4486,6832,9894,2022-02-27
Wairarapa,893,869,404,653,837,2022-02-27
Nelson Marlborough,4629,4558,2062,3656,2115,2022-02-27
West Coast,285,279,129,197,282,2022-02-27
Canterbury,12777,12509,5405,9085,12737,2022-02-27
South Canterbury,990,974,338,700,837,2022-02-27
Southern,6801,6652,2937,4928,6031,2022-02-27
Overseas / Unknown,425,405,163,325,1149,2022-02-27
New Zealand,280687,274599,120219,209296,286681,2022-02-27
