DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2917,2830,1176,2069,2934,2022-03-02
Waitemata,35872,35206,15904,27184,37573,2022-03-02
Auckland,44216,43249,20002,33996,46866,2022-03-02
Counties Manukau,110092,107667,46309,82627,116498,2022-03-02
Waikato,10508,10258,4696,7884,10682,2022-03-02
Lakes,2192,2131,1014,1620,2286,2022-03-02
Bay of Plenty,4872,4762,2019,3715,3679,2022-03-02
Tairawhiti,1069,1046,471,814,965,2022-03-02
Taranaki,1299,1271,541,898,1270,2022-03-02
Hawkes Bay,7278,7123,3210,5466,5020,2022-03-02
MidCentral,4520,4424,2034,3194,4468,2022-03-02
Whanganui,1250,1210,549,894,1381,2022-03-02
Capital and Coast,18491,18163,9474,13551,19177,2022-03-02
Hutt Valley,9544,9339,4619,6878,9894,2022-03-02
Wairarapa,894,870,429,654,837,2022-03-02
Nelson Marlborough,4635,4565,2101,3689,2115,2022-03-02
West Coast,285,279,135,200,282,2022-03-02
Canterbury,12787,12522,5627,9192,12737,2022-03-02
South Canterbury,995,979,352,713,837,2022-03-02
Southern,6817,6672,3051,4961,6031,2022-03-02
Overseas / Unknown,423,405,170,312,1149,2022-03-02
New Zealand,280956,274971,123883,210511,286681,2022-03-02
